,IDpol,Year,Damage,Fire,Other,Theft,TPL,Windscreen
19170,90157330.100c,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19171,90157332.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19172,90157338.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19173,90157338.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19174,90157338.100c,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19175,90157339.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19176,90157341.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19177,90157341.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19178,90157345.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19179,90157348.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19180,90157348.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19181,90157348.100d,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19182,90157351.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19183,90157352.103a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19184,90157356.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19185,90157356.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19186,90157357.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19187,90157357.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19188,90157358.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19189,90157360.100c,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19190,90157361.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19191,90157362.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19192,90157362.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19193,90157362.100c,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19194,90157366.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19195,90157366.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19196,90157368.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19197,90157368.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19198,90157370.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19199,90157370.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19200,90157372.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19201,90157372.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19202,90157372.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19203,90157372.101b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19204,90157377.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19205,90157377.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19206,90157380.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19207,90157380.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19208,90157380.100c,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19209,90157381.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19210,90157381.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19211,90157383.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19212,90157383.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19213,90157383.100c,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19214,90157383.100d,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19215,90157390.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19216,90157392.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19217,90157392.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19218,90157392.100c,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19219,90157395.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19220,90157395.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19221,90157396.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19222,90157396.101b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19223,90157396.101c,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19224,90157396.101d,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19225,90157396.102a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19226,90157406.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19227,90157411.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19228,90157414.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19229,90157414.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19230,90157422.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19231,90157422.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19232,90157424.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19233,90157424.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19234,90157424.100c,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19235,90157427.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19236,90157436.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19237,90157436.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19238,90157436.100c,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19239,90157443.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19240,90157443.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19241,90157447.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19242,90157447.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19243,90157450.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19244,90157452.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19245,90157452.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19246,90157453.102a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19247,90157453.102b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19248,90157455.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19249,90157455.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19250,90157458.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19251,90157458.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19252,90157461.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19253,90157461.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19254,90157465.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19255,90157467.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19256,90157467.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19257,90157468.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19258,90157473.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19259,90157473.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19260,90157474.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19261,90157474.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19262,90157475.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19263,90157479.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19264,90157479.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19265,90157479.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19266,90157479.101b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19267,90157479.102a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19268,90157480.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19269,90157480.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19270,90157481.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19271,90157481.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19272,90157482.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19273,90157482.101b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19274,90157482.101c,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19275,90157483.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19276,90157483.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19277,90157483.100c,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19278,90157484.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19279,90157486.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19280,90157486.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19281,90157489.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19282,90157492.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19283,90157492.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19284,90157493.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19285,90157494.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19286,90157494.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19287,90157499.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19288,90157500.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19289,90157502.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19290,90157507.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19291,90157507.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19292,90157509.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19293,90157509.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19294,90157514.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19295,90157515.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19296,90157523.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19297,90157533.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19298,90157535.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19299,90157536.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19300,90157536.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19301,90157537.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19302,90157537.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19303,90157537.100c,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19304,90157538.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19305,90157541.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19306,90157541.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19307,90157551.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19308,90157562.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19309,90157562.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19310,90157564.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19311,90157564.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19312,90157567.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19313,90157581.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19314,90157581.102a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19315,90157599.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19316,90157599.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19317,90157600.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19318,90157600.101b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19319,90157600.101c,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19320,90157605.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19321,90157609.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19322,90157609.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19323,90157610.103a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19324,90157610.103b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19325,90157610.103d,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19326,90157618.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19327,90157618.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19328,90157618.101b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19329,90157618.101c,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19330,90157621.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19331,90157624.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19332,90157628.102a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19333,90157646.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19334,90157648.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19335,90157648.101b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19336,90157648.101c,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19337,90157651.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19338,90157651.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19339,90157655.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19340,90157655.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19341,90157657.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19342,90157663.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19343,90157665.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19344,90157665.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19345,90157673.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19346,90157673.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19347,90157673.100c,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19348,90157673.100d,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19349,90157679.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19350,90157679.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19351,90157680.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19352,90157680.102a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19353,90157686.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19354,90157695.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19355,90157695.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19356,90157703.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19357,90157703.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19358,90157703.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19359,90157708.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19360,90157708.101b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19361,90157709.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19362,90157724.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19363,90157724.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19364,90157724.100c,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19365,90157726.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19366,90157726.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19367,90157742.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19368,90157746.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19369,90157746.100c,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19370,90157746.100d,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19371,90157750.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19372,90157750.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19373,90157750.100c,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19374,90157753.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19375,90157757.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19376,90157757.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19377,90157767.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19378,90157768.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19379,90157768.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19380,90157768.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19381,90157768.101b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19382,90157772.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19383,90157773.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19384,90157775.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19385,90157777.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19386,90157786.102a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19387,90157791.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19388,90157791.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19389,90157815.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19390,90157815.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19391,90157816.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19392,90157816.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19393,90157816.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19394,90157816.101b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19395,90157818.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19396,90157818.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19397,90157819.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19398,90157819.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19399,90157820.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19400,90157821.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19401,90157831.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19402,90157834.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19403,90157834.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19404,90157836.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19405,90157836.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19406,90157842.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19407,90157842.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19408,90157854.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19409,90157854.101b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19410,90157860.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19411,90157860.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19412,90157865.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19413,90157865.101b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19414,90157870.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19415,90157870.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19416,90157870.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19417,90157870.101b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19418,90157870.101c,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19419,90157882.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19420,90157885.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19421,90157893.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19422,90157893.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19423,90157896.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19424,90157897.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19425,90157898.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19426,90157898.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19427,90157898.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19428,90157900.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19429,90157900.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19430,90157900.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19431,90157904.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19432,90157904.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19433,90157905.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19434,90157905.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19435,90157905.100c,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19436,90157907.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19437,90157908.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19438,90157909.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19439,90157912.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19440,90157912.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19441,90157918.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19442,90157923.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19443,90157923.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19444,90157923.100c,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19445,90157933.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19446,90157934.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19447,90157944.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19448,90157946.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19449,90157949.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19450,90157963.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19451,90157964.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19452,90157969.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19453,90157969.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19454,90157974.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19455,90157981.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19456,90157981.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19457,90157985.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19458,90157991.102a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19459,90157991.102b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19460,90157991.102c,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19461,90157995.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19462,90157995.100c,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19463,90158002.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19464,90158002.100c,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19465,90158016.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19466,90158016.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19467,90158016.100c,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19468,90158018.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19469,90158018.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19470,90158020.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19471,90158020.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19472,90158023.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19473,90158027.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19474,90158031.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19475,90158035.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19476,90158035.101c,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19477,90158042.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19478,90158043.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19479,90158046.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19480,90158049.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19481,90158049.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19482,90158054.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19483,90158055.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19484,90158059.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19485,90158061.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19486,90158061.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19487,90158061.100c,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19488,90158062.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19489,90158062.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19490,90158072.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19491,90158079.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19492,90158079.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19493,90158093.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19494,90158093.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19495,90158093.100c,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19496,90158099.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19497,90158099.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19498,90158106.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19499,90158106.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19500,90158108.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19501,90158108.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19502,90158109.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19503,90158109.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19504,90158114.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19505,90158114.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19506,90158115.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19507,90158115.101b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19508,90158121.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19509,90158121.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19510,90158121.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19511,90158121.101b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19512,90158126.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19513,90158126.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19514,90158132.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19515,90158146.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19516,90158146.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19517,90158155.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19518,90158155.101b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19519,90158168.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19520,90158168.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19521,90158173.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19522,90158173.100c,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19523,90158177.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19524,90158177.100b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19525,90158177.101a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19526,90158177.101b,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
19527,90158180.100a,2003.0,0.0,0.0,0.0,0.0,0.0,0.0
