,IDpol,OccurDate,Payment,IDclaim,Guarantee
2136,90157745.100a,2003-06-07,281,200265,Windscreen
2137,90167935.100a,2003-06-07,56,200479,TPL
2138,90168220.100a,2003-06-07,1466,200153,TPL
2139,90176055.100a,2003-06-07,480,200458,Windscreen
2140,90177835.100a,2003-06-07,22,200189,Theft
2141,90181195.100a,2003-06-07,130,200098,TPL
2142,90186146.100c,2003-06-07,591,200015,TPL
2143,90187381.101a,2003-06-07,5706,200082,Damage
2144,90190332.100a,2003-06-07,2521,200678,Damage
2145,90190961.100a,2003-06-07,2706,200297,Damage
2146,90191093.100a,2003-06-07,897,200216,TPL
2147,1009398.100a,2003-06-08,85,200611,TPL
2148,20200241.100b,2003-06-08,291,201448,Windscreen
2149,90118458.101a,2003-06-08,307,200275,TPL
2150,90131256.100a,2003-06-08,1328,200165,TPL
2151,90135212.100a,2003-06-08,592,200627,TPL
2152,90150381.100a,2003-06-08,507,200229,Windscreen
2153,90156119.100b,2003-06-08,281,200303,TPL
2154,90157465.101b,2003-06-08,2231,200174,TPL
2155,90180710.100b,2003-06-08,409,200135,TPL
2156,90187824.100a,2003-06-08,887,200213,TPL
2157,90192768.100a,2003-06-08,5099,201082,TPL
2158,1001941.100a,2003-06-09,3072,200131,TPL
2159,60200149.10b,2003-06-09,6129,201011,Damage
2160,90102042.10a,2003-06-09,440,200283,Other
2161,90107834.10a,2003-06-09,467,200310,TPL
2162,90107949.101b,2003-06-09,692,200295,Damage
2163,90111667.101a,2003-06-09,1598,200200,Damage
2164,90113379.101a,2003-06-09,897,200993,TPL
2165,90126044.103a,2003-06-09,132,200716,Windscreen
2166,90132870.100b,2003-06-09,897,200388,TPL
2167,90139536.100a,2003-06-09,388,200752,Windscreen
2168,90151205.100a,2003-06-09,241,200934,Windscreen
2169,90151260.100a,2003-06-09,527,200306,TPL
2170,90155742.102a,2003-06-09,87,200937,Windscreen
2171,90159163.100a,2003-06-09,1578,200298,TPL
2172,90164530.100a,2003-06-09,840,200157,Damage
2173,90170560.100a,2003-06-09,2201,200466,TPL
2174,90181608.100a,2003-06-09,144,200352,Windscreen
2175,1003635.100a,2003-06-10,1401,200186,TPL
2176,90113831.101a,2003-06-10,69,200464,Windscreen
2177,90128074.100c,2003-06-10,3158,200187,TPL
2178,90128601.101b,2003-06-10,488,200166,TPL
2179,90133835.100b,2003-06-10,209,200728,Windscreen
2180,90166429.100a,2003-06-10,897,200554,TPL
2181,90179387.100b,2003-06-10,705,200201,TPL
2182,90194135.100a,2003-06-10,1392,200171,Damage
2183,90113937.101a,2003-06-11,1343,200345,TPL
2184,90131322.102a,2003-06-11,897,200239,TPL
2185,90132909.100a,2003-06-11,105,201807,Windscreen
2186,90134157.100a,2003-06-11,74,204106,Windscreen
2187,90135273.101b,2003-06-11,555,200506,TPL
2188,90140126.100a,2003-06-11,81,200423,Windscreen
2189,90144585.100a,2003-06-11,75,200737,Windscreen
2190,90146386.100a,2003-06-11,310,200242,TPL
2191,90150685.100a,2003-06-11,897,200205,TPL
2192,90156269.100b,2003-06-11,138,200684,Windscreen
2193,90159702.100b,2003-06-11,754,200293,Damage
2194,90166932.100a,2003-06-11,261,200727,Windscreen
2195,90168864.101a,2003-06-11,201,200629,TPL
2196,90168958.100a,2003-06-11,359,200339,Windscreen
2197,90171957.100b,2003-06-11,487,201439,TPL
2198,90181610.100a,2003-06-11,2152,200287,TPL
2199,90194055.100a,2003-06-11,1867,200582,TPL
2200,90194105.100b,2003-06-11,897,200610,TPL
2201,80100146.10b,2003-06-12,196,201847,Windscreen
2202,90103785.10a,2003-06-12,1104,200342,TPL
2203,90104938.100c,2003-06-12,1361,200261,TPL
2204,90113945.101b,2003-06-12,2102,200790,TPL
2205,90114131.101a,2003-06-12,199,201971,TPL
2206,90114358.102c,2003-06-12,23604,200327,TPL
2207,90115877.101a,2003-06-12,661,200356,TPL
2208,90117972.102b,2003-06-12,1471,202297,TPL
2209,90126492.102c,2003-06-12,897,200676,TPL
2210,90128159.101b,2003-06-12,897,201076,TPL
2211,90137590.100a,2003-06-12,2292,200151,TPL
2212,90145160.101a,2003-06-12,897,200560,TPL
2213,90145997.100a,2003-06-12,487,200319,TPL
2214,90146853.100b,2003-06-12,449,200573,TPL
2215,90147986.100a,2003-06-12,65,200269,Damage
2216,90155412.100a,2003-06-12,226,201032,Windscreen
2217,90170908.100a,2003-06-12,9386,200393,TPL
2218,1009103.100a,2003-06-13,0,200732,Damage
2219,90134831.101a,2003-06-13,399,200270,TPL
2220,90149931.101a,2003-06-13,205,201241,Windscreen
2221,90153433.100a,2003-06-13,0,200428,TPL
2222,90154401.103b,2003-06-13,897,200624,TPL
2223,90156047.100b,2003-06-13,70,200902,Windscreen
2224,90160035.100a,2003-06-13,26336,200647,TPL
2225,90168227.100a,2003-06-13,897,200437,TPL
2226,90170805.100a,2003-06-13,4084,200227,TPL
2227,90172822.100a,2003-06-13,0,200429,TPL
2228,70203526.10a,2003-06-14,0,200745,Other
2229,90120966.102a,2003-06-14,1177,206489,TPL
2230,90132199.100a,2003-06-14,596,200402,TPL
2231,90139511.100a,2003-06-14,3871,200973,Theft
2232,90141065.100a,2003-06-14,155,203090,Windscreen
2233,90146103.100a,2003-06-14,623,200226,TPL
2234,90149001.100a,2003-06-14,445,200463,TPL
2235,90149343.100a,2003-06-14,897,200630,TPL
2236,90152454.100a,2003-06-14,263,202309,Windscreen
2237,90153433.100a,2003-06-14,501,200485,TPL
2238,90155742.100a,2003-06-14,335,200838,Windscreen
2239,90165154.100a,2003-06-14,542,200361,TPL
2240,90167861.100a,2003-06-14,829,200740,Windscreen
2241,90176415.100a,2003-06-14,951,200496,TPL
2242,90177932.100a,2003-06-14,228,200765,Windscreen
2243,90190145.100a,2003-06-14,119,201374,Windscreen
2244,90194859.100b,2003-06-14,701,200236,TPL
2245,10100157.101b,2003-06-15,59,200359,TPL
2246,60200041.10a,2003-06-15,175,200509,Damage
2247,80201128.102b,2003-06-15,266,200461,TPL
2248,90105789.101a,2003-06-15,231,200617,Windscreen
2249,90106306.102a,2003-06-15,920,200510,TPL
2250,90106404.100c,2003-06-15,79,200641,TPL
2251,90109578.101a,2003-06-15,897,200390,TPL
2252,90131364.100a,2003-06-15,361,200420,Windscreen
2253,90132707.100a,2003-06-15,897,200603,TPL
2254,90133978.100a,2003-06-15,947,200492,TPL
2255,90134430.101a,2003-06-15,0,200744,Windscreen
2256,90134573.100a,2003-06-15,84,201599,Windscreen
2257,90150001.100b,2003-06-15,320,200405,TPL
2258,90153237.100b,2003-06-15,159,200747,Windscreen
2259,90156703.100a,2003-06-15,290,200419,TPL
2260,90158355.100b,2003-06-15,298,200929,Windscreen
2261,90160865.100a,2003-06-15,130,200322,Windscreen
2262,90167804.101c,2003-06-15,27228,200348,TPL
2263,90171958.100a,2003-06-15,198,200756,Windscreen
2264,1000733.10a,2003-06-16,266,202367,Windscreen
2265,186.102a,2003-06-16,1701,200615,Damage
2266,40200078.101b,2003-06-16,1019,200384,TPL
2267,80200741.101d,2003-06-16,911,200488,TPL
2268,90115230.102a,2003-06-16,202,201276,Windscreen
2269,90126662.101b,2003-06-16,2328,200753,Fire
2270,90131746.104b,2003-06-16,459,200304,Windscreen
2271,90134051.101b,2003-06-16,489,200658,TPL
2272,90134721.100a,2003-06-16,245,200767,Windscreen
2273,90146779.100a,2003-06-16,0,209615,TPL
2274,90148239.100a,2003-06-16,508,200797,TPL
2275,90151296.100b,2003-06-16,476,200459,TPL
2276,90151970.100a,2003-06-16,422,200654,Windscreen
2277,90159049.100a,2003-06-16,4139,200800,Damage
2278,90172399.100b,2003-06-16,2060,200440,Theft
2279,90182369.100a,2003-06-16,534,200473,TPL
2280,90190300.100a,2003-06-16,73,201348,Windscreen
2281,10200425.101a,2003-06-17,897,200783,TPL
2282,17.102a,2003-06-17,367,201556,Windscreen
2283,90107378.101a,2003-06-17,4175,200780,TPL
2284,90124873.103a,2003-06-17,1401,200566,TPL
2285,90132770.100a,2003-06-17,170,200526,Windscreen
2286,90133393.101a,2003-06-17,183,200568,Windscreen
2287,90134518.100a,2003-06-17,366,200751,Windscreen
2288,90134843.101b,2003-06-17,462,200537,TPL
2289,90146064.100a,2003-06-17,4807,200766,TPL
2290,90153418.100a,2003-06-17,1336,200671,TPL
2291,90157773.101b,2003-06-17,122,200599,Windscreen
2292,90166350.100a,2003-06-17,1967,200588,TPL
2293,90187214.100a,2003-06-17,120,201343,Windscreen
2294,50100016.10a,2003-06-18,199,200811,Windscreen
2295,90103749.10a,2003-06-18,897,200494,TPL
2296,90126375.101a,2003-06-18,11610,201083,Theft
2297,90127898.100a,2003-06-18,214,206838,Windscreen
2298,90128961.101a,2003-06-18,315,201162,Theft
2299,90146349.101a,2003-06-18,247,200789,Windscreen
2300,90153248.100c,2003-06-18,136,200971,Windscreen
2301,90160598.100b,2003-06-18,335,200769,Windscreen
2302,90166371.100a,2003-06-18,897,200575,TPL
2303,90167813.100a,2003-06-18,97,200685,Windscreen
2304,90169006.100a,2003-06-18,4021,200542,TPL
2305,90183254.100a,2003-06-18,427,202280,Windscreen
2306,90132284.100b,2003-06-19,897,204722,TPL
2307,90138160.100b,2003-06-19,21713,200674,TPL
2308,90144809.100a,2003-06-19,267,200596,Windscreen
2309,90146109.100a,2003-06-19,253,200664,TPL
2310,90163211.101a,2003-06-19,99,200860,TPL
2311,90172292.100a,2003-06-19,293,200622,Windscreen
2312,90179202.101a,2003-06-19,292,200755,Windscreen
2313,90191254.100a,2003-06-19,276,202419,Windscreen
2314,90104280.101a,2003-06-20,691,200586,TPL
2315,90119461.100a,2003-06-20,355,200851,Windscreen
2316,90138166.100b,2003-06-20,442,200822,TPL
2317,90148111.100a,2003-06-20,1779,200936,TPL
2318,90151851.100a,2003-06-20,4900,200697,TPL
2319,90155368.101a,2003-06-20,334,201357,Windscreen
2320,1004847.100a,2003-06-21,470,201617,Windscreen
2321,90126140.101b,2003-06-21,4,200810,TPL
2322,90146007.100a,2003-06-21,1054,200595,Windscreen
2323,90146501.100a,2003-06-21,897,200626,TPL
2324,90148438.100c,2003-06-21,377,201137,Windscreen
2325,90149915.100c,2003-06-21,262,200921,Windscreen
2326,90157514.100a,2003-06-21,86,200850,Windscreen
2327,90161077.100b,2003-06-21,102,200689,Windscreen
2328,90166009.100a,2003-06-21,0,200722,Damage
2329,90190145.100a,2003-06-21,4918,200679,Damage
2330,90104586.102a,2003-06-22,9807,201559,TPL
2331,90109479.102a,2003-06-22,277,200736,Windscreen
2332,90111200.101a,2003-06-22,266,201223,Windscreen
2333,90114434.102a,2003-06-22,228,200843,TPL
2334,90139016.100c,2003-06-22,317,201043,Windscreen
2335,90139493.100a,2003-06-22,0,201128,TPL
2336,90146621.100b,2003-06-22,389,201033,Windscreen
2337,90148924.100b,2003-06-22,148,200808,Windscreen
2338,90149616.100a,2003-06-22,1652,200729,TPL
2339,90151263.100b,2003-06-22,211,200593,Windscreen
2340,90158065.100a,2003-06-22,263,201952,Windscreen
2341,90108088.100b,2003-06-23,6851,200791,Damage
2342,90113946.101a,2003-06-23,0,200807,TPL
2343,90121353.101a,2003-06-23,481,200867,Windscreen
2344,90127873.101a,2003-06-23,2386,200963,TPL
2345,90133109.100a,2003-06-23,1311,200723,TPL
2346,90151664.101a,2003-06-23,0,200686,TPL
2347,90162725.101d,2003-06-23,45,201005,Windscreen
2348,1003291.100c,2003-06-24,20620,200871,TPL
2349,90118472.101a,2003-06-24,196,200887,TPL
2350,90132258.100b,2003-06-24,916,200601,TPL
2351,90134075.100b,2003-06-24,153,200976,TPL
2352,90144726.101a,2003-06-24,456,200949,Windscreen
2353,90145482.100a,2003-06-24,0,200782,Damage
2354,90149793.100a,2003-06-24,265,203471,Windscreen
2355,90149870.100a,2003-06-24,150,200772,Windscreen
2356,90154080.100a,2003-06-24,572,201826,Windscreen
2357,90161393.100b,2003-06-24,897,201415,TPL
2358,90163196.100a,2003-06-24,299,201097,Windscreen
2359,90189478.100a,2003-06-24,3371,200868,Damage
2360,90190949.100c,2003-06-24,420,201273,Windscreen
2361,1009103.100a,2003-06-25,280,200717,Damage
2362,212.100a,2003-06-25,141,200711,Theft
2363,90132456.100b,2003-06-25,74,200825,TPL
2364,90145334.101a,2003-06-25,570,200984,Damage
2365,90176405.100a,2003-06-25,275,201250,Windscreen
2366,1005058.100a,2003-06-26,117,201024,Windscreen
2367,90105456.101a,2003-06-26,83,201947,Windscreen
2368,90128589.100b,2003-06-26,351,206591,TPL
2369,90132146.100b,2003-06-26,225,201929,Windscreen
2370,90133993.100a,2003-06-26,81,201371,Windscreen
2371,90144538.101a,2003-06-26,178,201676,Windscreen
2372,90149813.102b,2003-06-26,81,201341,Damage
2373,90152297.100b,2003-06-26,193,200925,TPL
2374,90170849.100b,2003-06-26,246,201118,Windscreen
2375,90180465.100a,2003-06-26,653,201197,Theft
2376,90180851.100b,2003-06-26,766,200994,Damage
2377,90188334.100a,2003-06-26,371,201058,Windscreen
2378,90124966.101a,2003-06-27,443,201063,TPL
2379,90144793.100a,2003-06-27,318,201161,TPL
2380,90156481.100a,2003-06-27,1493,201173,Theft
2381,90184248.100a,2003-06-27,897,200820,TPL
2382,70202920.10a,2003-06-28,499,201039,Windscreen
2383,90111635.100a,2003-06-28,316,201344,Windscreen
2384,90124780.100b,2003-06-28,97,201244,Windscreen
2385,90132912.100b,2003-06-28,1927,201132,Theft
2386,90141120.100a,2003-06-28,195,201143,Windscreen
2387,90170745.100b,2003-06-28,312,201257,Windscreen
2388,90170773.100b,2003-06-28,214,201140,Windscreen
2389,90172082.100a,2003-06-28,4175,200918,Theft
2390,90185498.100b,2003-06-28,0,200903,TPL
2391,90117154.100a,2003-06-29,504,201532,Windscreen
2392,90126030.101a,2003-06-29,75,201255,Windscreen
2393,90128154.101a,2003-06-29,73,201155,Windscreen
2394,90128354.101a,2003-06-29,897,201171,TPL
2395,90128799.100a,2003-06-29,2970,201062,TPL
2396,90133906.100a,2003-06-29,296,201850,Windscreen
2397,90146485.100a,2003-06-29,1640,201037,Theft
2398,90147758.101a,2003-06-29,1612,200945,Damage
2399,90162751.100a,2003-06-29,96,201127,Windscreen
2400,90164647.100a,2003-06-29,897,201286,TPL
2401,90176800.100a,2003-06-29,2807,201021,TPL
2402,90194448.100b,2003-06-29,630,201069,TPL
2403,90104653.101a,2003-06-30,342,201547,Windscreen
2404,90132227.100a,2003-06-30,114,201022,Windscreen
2405,90132560.100a,2003-06-30,230,202546,Windscreen
2406,90133672.100a,2003-06-30,22,201131,Other
2407,90160281.100e,2003-06-30,4401,201064,Damage
2408,90168988.100a,2003-06-30,695,201075,Theft
2409,90177911.100a,2003-06-30,264,201522,Windscreen
2410,90180676.100b,2003-06-30,377,201363,Windscreen
2411,1002085.100a,2003-07-01,381,201084,TPL
2412,90104660.101a,2003-07-01,173,201150,TPL
2413,90107991.101a,2003-07-01,792,201009,Theft
2414,90126672.100a,2003-07-01,134,201461,Windscreen
2415,90146685.101a,2003-07-01,3075,201113,TPL
2416,90152945.103a,2003-07-01,126,201094,TPL
2417,90172630.100b,2003-07-01,278,201584,Windscreen
2418,90185970.100b,2003-07-01,423,201225,TPL
2419,90190540.100a,2003-07-01,897,201148,TPL
2420,90107374.101a,2003-07-02,450,201292,TPL
2421,90108533.100a,2003-07-02,243,201695,Windscreen
2422,90111311.101a,2003-07-02,1928,201210,Damage
2423,90132820.100a,2003-07-02,337,201074,TPL
2424,90132979.100a,2003-07-02,523,201110,TPL
2425,90135304.100c,2003-07-02,5295,201104,TPL
2426,90140139.100a,2003-07-02,75,201236,TPL
2427,90140556.101a,2003-07-02,280,201232,Windscreen
2428,90146716.100a,2003-07-02,247,201526,Windscreen
2429,90148360.100a,2003-07-02,74,201377,TPL
2430,90150399.100b,2003-07-02,160,201902,TPL
2431,90152552.100c,2003-07-02,897,201666,TPL
2432,90159830.100a,2003-07-02,133,205113,Windscreen
2433,90164610.100a,2003-07-02,96,201256,Windscreen
2434,90185793.100b,2003-07-02,2029,201218,TPL
2435,90187257.100a,2003-07-02,897,204720,TPL
2436,90193075.100b,2003-07-02,226,201647,Windscreen
2437,10100145.100a,2003-07-03,142,201046,TPL
2438,90119192.101a,2003-07-03,96,201217,TPL
2439,90144607.100a,2003-07-03,323,201825,Windscreen
2440,90186758.100a,2003-07-03,213,201945,Windscreen
2441,1003124.101a,2003-07-04,897,201270,TPL
2442,90133484.100b,2003-07-04,5031,201220,Damage
2443,90146186.100a,2003-07-04,897,201528,TPL
2444,90148612.100a,2003-07-04,245,201207,TPL
2445,90153212.100a,2003-07-04,66,201212,TPL
2446,90180851.100a,2003-07-04,2634,201151,TPL
2447,1009629.100a,2003-07-05,1843,201053,TPL
2448,90103478.100a,2003-07-05,150,201287,Windscreen
2449,90110685.106b,2003-07-05,109,201731,Theft
2450,90131012.100a,2003-07-05,1153,201346,Damage
2451,90133875.100a,2003-07-05,70,201620,Windscreen
2452,90147973.100a,2003-07-05,1830,201170,Theft
2453,90149189.100a,2003-07-05,319,201464,Damage
2454,90153590.100b,2003-07-05,71,201166,TPL
2455,90154181.100b,2003-07-05,7379,201304,TPL
2456,90157303.100b,2003-07-05,161,207006,TPL
2457,90157502.100a,2003-07-05,988,201679,TPL
2458,90172082.100a,2003-07-05,0,201857,Theft
2459,90173863.101a,2003-07-05,2408,201091,TPL
2460,90174119.100a,2003-07-05,365,201314,TPL
2461,90183909.100a,2003-07-05,255,201725,TPL
2462,60200214.10a,2003-07-06,919,201204,Theft
2463,90104301.101a,2003-07-06,897,201149,TPL
2464,90127255.101b,2003-07-06,431,201460,Windscreen
2465,90132621.100a,2003-07-06,426,201245,Windscreen
2466,90133764.100a,2003-07-06,495,201477,Windscreen
2467,90147668.100a,2003-07-06,201,201422,Windscreen
2468,90167836.100a,2003-07-06,1982,201467,TPL
2469,90167981.100a,2003-07-06,7530,201203,Theft
2470,90172082.102a,2003-07-06,320,201298,TPL
2471,90174083.100d,2003-07-06,233,202136,Fire
2472,90191207.100a,2003-07-06,2619,201121,Damage
2473,80200127.101a,2003-07-07,471,201216,Damage
2474,90104327.101a,2003-07-07,278,201152,Damage
2475,90108677.101a,2003-07-07,1822,201306,TPL
2476,90132160.100a,2003-07-07,91,201940,TPL
2477,90148361.101a,2003-07-07,216,201552,Windscreen
2478,90151507.100a,2003-07-07,872,201905,TPL
2479,90152050.100a,2003-07-07,83,201400,TPL
2480,90152300.100c,2003-07-07,155,201514,Windscreen
2481,90152956.101b,2003-07-07,88,203234,Damage
2482,90153184.102b,2003-07-07,594,201353,TPL
2483,90154839.100b,2003-07-07,263,202224,Windscreen
2484,90157745.100b,2003-07-07,58,201805,Windscreen
2485,90160069.100b,2003-07-07,0,202437,TPL
2486,90166850.100a,2003-07-07,217,201299,Windscreen
2487,90167873.100a,2003-07-07,1355,201240,Damage
2488,90168336.100b,2003-07-07,1190,201202,TPL
2489,90179152.100a,2003-07-07,223,202631,Windscreen
2490,90190013.102a,2003-07-07,1863,201296,TPL
2491,90190947.100a,2003-07-07,45,201863,Windscreen
2492,90191851.100a,2003-07-07,68,201191,TPL
2493,20100157.101a,2003-07-08,1464,201369,TPL
2494,90111560.101b,2003-07-08,387,201360,Windscreen
2495,90132096.100b,2003-07-08,897,201521,TPL
2496,90145510.100a,2003-07-08,263,202096,Windscreen
2497,90145661.100a,2003-07-08,2512,203491,TPL
2498,90151685.100a,2003-07-08,1148,201570,Theft
2499,90152591.100b,2003-07-08,4700,201437,Damage
2500,90126988.100b,2003-07-09,296,201828,Windscreen
2501,90145416.100a,2003-07-09,897,201663,TPL
2502,90145467.100c,2003-07-09,473,201665,TPL
2503,90147919.100b,2003-07-09,733,201379,TPL
2504,90148572.102a,2003-07-09,85,201830,Windscreen
2505,90152578.100a,2003-07-09,897,202122,TPL
2506,90154096.100b,2003-07-09,495,201392,TPL
2507,90158833.100a,2003-07-09,71,201435,TPL
2508,90168249.100a,2003-07-09,588,202300,Windscreen
2509,90176012.100a,2003-07-09,257,201926,Windscreen
2510,90180537.100a,2003-07-09,897,201627,TPL
2511,1005075.100b,2003-07-10,283,201503,Windscreen
2512,70200016.10a,2003-07-10,719,201480,TPL
2513,90102534.101b,2003-07-10,928,201398,TPL
2514,90128702.100a,2003-07-10,3453,202265,TPL
2515,90128709.101a,2003-07-10,66,201393,TPL
2516,90145355.101c,2003-07-10,69,201484,TPL
2517,90154080.101a,2003-07-10,43,201773,TPL
2518,90154181.100a,2003-07-10,417,201553,Windscreen
2519,20100218.10a,2003-07-11,916,201485,TPL
2520,90108066.101a,2003-07-11,85,201355,Damage
2521,90110650.101d,2003-07-11,1593,201453,TPL
2522,90127356.101d,2003-07-11,16699,201450,Damage
2523,90132880.100b,2003-07-11,682,201397,Theft
2524,90167909.100a,2003-07-11,636,201496,TPL
2525,90176259.100a,2003-07-11,2326,201674,TPL
2526,90178790.100c,2003-07-11,897,201670,TPL
2527,90110913.101a,2003-07-12,208,202776,Windscreen
2528,90115983.101b,2003-07-12,126,201831,Windscreen
2529,90119189.101b,2003-07-12,582,201483,Windscreen
2530,90126040.100c,2003-07-12,562,202039,TPL
2531,90127882.100a,2003-07-12,561,201406,Windscreen
2532,90133752.101a,2003-07-12,407,201442,TPL
2533,90144409.100a,2003-07-12,897,201577,TPL
2534,90144622.100a,2003-07-12,40,201643,Windscreen
2535,90151941.100b,2003-07-12,128,201611,Windscreen
2536,90154547.100a,2003-07-12,94,201969,Windscreen
2537,90178863.101a,2003-07-12,3973,201578,Damage
2538,90179560.101a,2003-07-12,3534,201555,TPL
2539,90185193.100a,2003-07-12,290,202598,Windscreen
2540,90189434.100a,2003-07-12,2328,201752,Damage
2541,90104008.101b,2003-07-13,263,201630,TPL
2542,90106298.10b,2003-07-13,90,201879,Windscreen
2543,90116364.101a,2003-07-13,238,201462,Windscreen
2544,90132099.102a,2003-07-13,548,201540,TPL
2545,90144693.100a,2003-07-13,616,201722,TPL
2546,90146101.100b,2003-07-13,5009,201626,TPL
2547,90146256.100a,2003-07-13,461,201571,TPL
2548,90147516.100a,2003-07-13,2858,201596,TPL
2549,90148904.100b,2003-07-13,278,202061,Windscreen
2550,90148944.100b,2003-07-13,111,202356,Windscreen
2551,90149029.100a,2003-07-13,2534,201429,TPL
2552,90155150.100b,2003-07-13,107,201554,Windscreen
2553,90165964.100a,2003-07-13,895,201586,TPL
2554,90168081.100a,2003-07-13,1282,201543,TPL
2555,90181146.100a,2003-07-13,61,201723,Windscreen
2556,90187391.100a,2003-07-13,450,201992,Windscreen
2557,90193286.100a,2003-07-13,305,201507,Windscreen
2558,90146339.100a,2003-07-14,314,202152,Windscreen
2559,90147330.100b,2003-07-14,218,201509,Windscreen
2560,90149741.100b,2003-07-14,249,202050,Windscreen
2561,90155228.103a,2003-07-14,255,202053,Windscreen
2562,90159507.100a,2003-07-14,218,201848,Windscreen
2563,90169026.100a,2003-07-14,1557,201843,TPL
2564,90180683.100a,2003-07-14,651,201566,TPL
2565,90194797.101a,2003-07-14,225,201779,TPL
2566,90100757.10a,2003-07-15,1263,201565,Damage
2567,90103478.100a,2003-07-15,83,203465,Windscreen
2568,90104215.102a,2003-07-15,58,201724,TPL
2569,90108644.100b,2003-07-15,190,201967,Windscreen
2570,90111318.102a,2003-07-15,28,202060,Windscreen
2571,90113382.102a,2003-07-15,897,201539,TPL
2572,90141597.100a,2003-07-15,160,202119,Windscreen
2573,90146580.100a,2003-07-15,446,201853,TPL
2574,90146974.100b,2003-07-15,1712,201735,TPL
2575,90150389.101a,2003-07-15,898,201794,Theft
2576,90151517.100b,2003-07-15,635,201634,TPL
2577,90152336.100a,2003-07-15,218,203137,Windscreen
2578,90155824.100a,2003-07-15,58,201610,TPL
2579,90183943.101b,2003-07-15,1244,201519,Damage
2580,90191209.100a,2003-07-15,2155,201685,TPL
2581,90193170.100a,2003-07-15,2085,201637,Damage
2582,1002876.100a,2003-07-16,897,207568,TPL
2583,70206219.101a,2003-07-16,132,202758,Windscreen
2584,90104462.102a,2003-07-16,22,202277,TPL
2585,90108011.101a,2003-07-16,1226,201738,TPL
2586,90111636.101a,2003-07-16,58,201580,TPL
2587,90117168.101a,2003-07-16,100,202055,Windscreen
2588,90117751.100a,2003-07-16,76,201715,Other
2589,90124561.101a,2003-07-16,279,203072,Windscreen
2590,90127255.101c,2003-07-16,937,201538,TPL
2591,90141488.100a,2003-07-16,164,203866,Windscreen
2592,90147734.100a,2003-07-16,3436,201822,TPL
2593,90147952.100b,2003-07-16,0,204593,TPL
2594,90147981.100a,2003-07-16,336,201739,Windscreen
2595,90151786.101a,2003-07-16,897,201646,TPL
2596,90153795.100b,2003-07-16,0,203177,TPL
2597,90158600.100d,2003-07-16,1492,201650,TPL
2598,90159947.101b,2003-07-16,701,204809,TPL
2599,90170394.100a,2003-07-16,594,202250,TPL
2600,90178134.100a,2003-07-16,99,201708,TPL
2601,90186170.100c,2003-07-16,1611,205672,TPL
2602,90186827.100a,2003-07-16,45,202638,Windscreen
2603,90194021.100a,2003-07-16,427,201906,TPL
2604,90194044.100c,2003-07-16,555,201821,Windscreen
2605,20100009.100a,2003-07-17,378,201757,TPL
2606,90109497.101c,2003-07-17,816,201743,Theft
2607,90111568.100a,2003-07-17,608,201974,Windscreen
2608,90124889.101a,2003-07-17,235,201758,TPL
2609,90132116.100b,2003-07-17,268,202058,Windscreen
2610,90146821.100a,2003-07-17,897,201865,TPL
2611,90148783.100a,2003-07-17,755,201870,Damage
2612,90150359.100a,2003-07-17,419,204688,Damage
2613,90152249.100b,2003-07-17,264,202095,Windscreen
2614,90155371.100a,2003-07-17,1529,201889,TPL
2615,90164518.100a,2003-07-17,87,202799,Windscreen
2616,90167237.100b,2003-07-17,24,202076,TPL
2617,90178995.100a,2003-07-17,921,201785,TPL
2618,90180913.100b,2003-07-17,226,202231,Windscreen
2619,80200740.102c,2003-07-18,6204,201660,TPL
2620,90103228.10a,2003-07-18,897,202539,TPL
2621,90112158.100a,2003-07-18,159,201836,Theft
2622,90116664.102e,2003-07-18,5949,201688,Damage
2623,90127789.101b,2003-07-18,644,201771,TPL
2624,90138478.100a,2003-07-18,90,201987,Other
2625,90145789.100a,2003-07-18,2081,201781,TPL
2626,90182364.100a,2003-07-18,126,208690,TPL
2627,90185111.101a,2003-07-18,984,201713,Damage
2628,80100177.101a,2003-07-19,344,203670,Windscreen
2629,90106427.101a,2003-07-19,97,202812,Windscreen
2630,90115861.101b,2003-07-19,282,202813,Windscreen
2631,90131359.100b,2003-07-19,502,201759,TPL
2632,90132730.100a,2003-07-19,159,202052,Windscreen
2633,90139536.100a,2003-07-19,6229,201704,TPL
2634,90149517.101b,2003-07-19,83,202089,Windscreen
2635,90154269.100a,2003-07-19,255,202750,Windscreen
2636,90156900.100a,2003-07-19,280,201933,Windscreen
2637,90158529.100b,2003-07-19,120,201882,Windscreen
2638,90179986.100b,2003-07-19,155,201943,TPL
2639,90187322.101a,2003-07-19,62,201960,Windscreen
2640,90187852.100a,2003-07-19,346,202103,Windscreen
2641,90190490.100a,2003-07-19,396,202179,TPL
2642,1007397.102a,2003-07-20,265,201682,TPL
2643,90109517.101a,2003-07-20,156,201791,TPL
2644,90113342.101b,2003-07-20,289,202822,Windscreen
2645,90124686.101d,2003-07-20,4240,201837,TPL
2646,90124798.101a,2003-07-20,69,202040,Damage
2647,90134081.100a,2003-07-20,2463,201927,TPL
2648,90134397.100c,2003-07-20,180,202753,Windscreen
2649,90138485.100a,2003-07-20,1184,201975,Theft
2650,90156620.102a,2003-07-20,355,201804,Damage
2651,90159774.100a,2003-07-20,1579,201841,TPL
2652,90159774.100b,2003-07-20,1850,202693,TPL
2653,90167933.100a,2003-07-20,66,201978,Damage
2654,90169939.100c,2003-07-20,80,202351,Damage
